Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run_ID,Source File,Is Malicious Data
2,0.0,0,distilbert.transformer.layer.5.sa_layer_norm.weight,normal,0.0,0.0,0.59928966,1.5373797,0.7716627,0.76547897,0.05848797,0.74535704,0.7853366,0.7903632521629333,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.attention.k_lin.weight,normal,0.0,0.0,-0.5838126,0.66317,-1.4967494e-06,6.8820955e-05,0.0489255,-0.03241715,0.032416582,-0.0288029573857784,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.4.attention.k_lin.weight,normal,0.0,0.0,-0.58525455,0.6619027,-1.8947402e-06,4.906882e-05,0.048925683,-0.032405384,0.032417983,-0.0317371077835559,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.5.ffn.lin1.weight,normal,0.0,0.0,-0.42430082,0.5017403,0.00054443494,0.0005566521,0.03934459,-0.025758354,0.026774645,0.0659636259078979,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.ffn.lin1.weight,normal,0.0,0.0,-0.42353627,0.50275296,0.0005455967,0.00054371497,0.03934375,-0.025754137,0.026780099,0.0618580281734466,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.attention.out_lin.weight,normal,0.0,0.0,-0.3532832,0.30262396,1.3351208e-05,2.9487426e-05,0.039881684,-0.024761114,0.024747368,0.0420328825712204,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.2.attention.out_lin.weight,normal,0.0,0.0,-0.35401323,0.30155593,1.2718355e-05,7.00193e-06,0.03988562,-0.024756696,0.024769166,0.042197223752737,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.sa_layer_norm.weight,normal,0.0,0.0,0.5061885,2.9656851,0.8410546,0.8407488,0.09431949,0.8090337,0.8695083,0.9084368944168092,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.sa_layer_norm.weight,normal,0.0,0.0,0.5065928,2.9667692,0.84109586,0.8405713,0.094340906,0.809074,0.8693844,0.9090476036071776,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.ffn.lin1.weight,normal,0.0,0.0,-0.88633114,0.8658581,0.0008102931,0.00073860027,0.042589653,-0.026880406,0.028380465,0.0544461421668529,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.4.ffn.lin1.weight,normal,0.0,0.0,-0.8836661,0.86265904,0.0008098249,0.0007364677,0.042592887,-0.026900899,0.028385598,0.0546352341771125,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.3.attention.q_lin.weight,normal,0.0,0.0,-0.26947168,0.3039899,-3.3512301e-06,-8.945509e-06,0.048977032,-0.032273497,0.03217891,0.0121631743386387,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.attention.q_lin.weight,normal,0.0,0.0,-0.27040657,0.30474275,-2.297723e-06,-1.6668642e-05,0.048975427,-0.032296456,0.03220803,0.0127103291451931,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.attention.out_lin.weight,normal,0.0,0.0,-0.6097732,0.74046654,-2.0337726e-05,-4.32372e-05,0.034817886,-0.021686662,0.02171653,-0.0293769612908363,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.attention.out_lin.weight,normal,0.0,0.0,-0.6100431,0.7397816,-2.0469202e-05,-4.0219955e-05,0.03481951,-0.021693835,0.021713048,-0.0285879131406545,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.attention.q_lin.weight,normal,0.0,0.0,-0.70660543,0.49988192,6.277965e-05,0.00016027919,0.043372586,-0.027737211,0.02778922,-0.0012796418741345,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.attention.q_lin.weight,normal,0.0,0.0,-0.70485866,0.4997015,5.9907714e-05,0.00013055606,0.043379642,-0.027724162,0.02778134,-0.0015031093498691,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.output_layer_norm.weight,normal,0.0,0.0,0.35077068,0.93202716,0.8257334,0.8400971,0.07151046,0.7974355,0.8737281,0.8926905989646912,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.1.output_layer_norm.weight,normal,0.0,0.0,0.35121685,0.93236554,0.82579345,0.84045327,0.07150693,0.79799813,0.8732928,0.8926926851272583,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.5.attention.v_lin.weight,normal,0.0,0.0,-0.31198695,0.2589732,2.0597634e-05,2.7611418e-06,0.04816159,-0.03153563,0.031678654,0.0376100838184356,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.attention.v_lin.weight,normal,0.0,0.0,-0.31167874,0.25875598,2.0720223e-05,1.5774222e-05,0.048161466,-0.0315463,0.03168508,0.0380226895213127,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.attention.v_lin.weight,normal,0.0,0.0,-0.18822287,0.1992894,-7.2739356e-05,-0.00010561492,0.03417086,-0.022562273,0.022350024,0.026311183348298,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.attention.v_lin.weight,normal,0.0,0.0,-0.19081122,0.19968635,-7.363034e-05,-9.478047e-05,0.034169175,-0.02255666,0.022335887,0.0248669367283582,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.ffn.lin2.weight,normal,0.0,0.0,-4.0305805,1.1723789,-3.682265e-05,-3.9347426e-05,0.043092005,-0.02675106,0.026708182,-0.051224336028099,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.1.ffn.lin2.weight,normal,0.0,0.0,-4.031932,1.1715357,-3.951135e-05,-3.8364706e-05,0.043092187,-0.02675471,0.02670665,-0.0520883649587631,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.2.attention.q_lin.weight,normal,0.0,0.0,-0.38958564,0.3906762,-0.00019258668,-0.00020120411,0.047507275,-0.031386454,0.031014595,0.0699775069952011,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.attention.q_lin.weight,normal,0.0,0.0,-0.3901877,0.38993397,-0.00019081202,-0.00019188842,0.047505364,-0.031422563,0.03104362,0.0715782865881919,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.sa_layer_norm.weight,normal,0.0,0.0,0.43459052,2.0612311,0.7822728,0.79387474,0.09095169,0.74557126,0.8327987,0.851265549659729,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.1.sa_layer_norm.weight,normal,0.0,0.0,0.43495286,2.060514,0.78223246,0.79334867,0.09092958,0.7452913,0.8317084,0.8499680757522583,0,dataset_normal.csv,False
