Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run ID
1,0.0,0,distilbert.transformer.layer.5.ffn.lin1.weight,random,0.1,0.1,-0.42393842,0.5019288,0.00054474943,0.00054690865,0.039345194,-0.025763376,0.026775137,0.0625471845269203,0
2,0.0,0,distilbert.transformer.layer.5.ffn.lin1.weight,random,0.1,0.1,-0.42355835,0.5007924,0.000548567,0.0005465216,0.039345212,-0.02575224,0.026769064,0.0623158626258373,0
2,0.0,0,distilbert.transformer.layer.2.attention.out_lin.weight,random,0.1,0.1,-0.35338038,0.30115405,1.2705819e-05,2.3261036e-05,0.03988457,-0.024775451,0.024758428,0.04136922955513,0
1,0.0,0,distilbert.transformer.layer.2.attention.out_lin.weight,random,0.1,0.1,-0.35531837,0.30224445,1.3067463e-05,2.9348028e-05,0.0398828,-0.024779176,0.024765313,0.0395684987306594,0
2,0.0,0,distilbert.transformer.layer.0.sa_layer_norm.weight,random,0.1,0.1,0.50617075,2.965822,0.8410942,0.8405354,0.09433293,0.8089118,0.8697586,0.9096215963363647,0
1,0.0,0,distilbert.transformer.layer.0.sa_layer_norm.weight,random,0.1,0.1,0.50722784,2.9662576,0.8410351,0.8407231,0.09436144,0.8085359,0.86926746,0.9081695675849916,0
2,0.0,0,distilbert.transformer.layer.4.ffn.lin1.weight,random,0.1,0.1,-0.8866719,0.86804307,0.0008099992,0.0007434569,0.04259371,-0.026893184,0.028376065,0.0548257529735565,0
1,0.0,0,distilbert.transformer.layer.4.ffn.lin1.weight,random,0.1,0.1,-0.88405716,0.8646869,0.00081031123,0.00073332543,0.042593773,-0.026895469,0.028375108,0.0546282827854156,0
1,0.0,0,distilbert.transformer.layer.3.attention.q_lin.weight,random,0.1,0.1,-0.2700046,0.30373558,-2.1249975e-06,-8.951974e-06,0.048978847,-0.032271765,0.032204103,0.0117439031600952,0
2,0.0,0,distilbert.transformer.layer.3.attention.q_lin.weight,random,0.1,0.1,-0.27042994,0.30354312,-4.159247e-06,-1.550328e-05,0.048979323,-0.032271437,0.032208856,0.0156002417206764,0
2,0.0,0,distilbert.transformer.layer.0.attention.out_lin.weight,random,0.1,0.1,-0.61035514,0.73955274,-2.0399973e-05,-3.2500404e-05,0.03482043,-0.02168383,0.021695621,-0.0285909846425056,0
1,0.0,0,distilbert.transformer.layer.0.attention.out_lin.weight,random,0.1,0.1,-0.6106495,0.74103296,-2.1203492e-05,-2.8593993e-05,0.034820456,-0.021678139,0.021699494,-0.028874222189188,0
1,0.0,0,distilbert.transformer.layer.0.attention.q_lin.weight,random,0.1,0.1,-0.70517683,0.49822214,6.1098355e-05,0.00013942545,0.043377828,-0.027727343,0.02778048,-0.004244115203619,0
2,0.0,0,distilbert.transformer.layer.0.attention.q_lin.weight,random,0.1,0.1,-0.7065892,0.49751785,6.0508566e-05,0.0001515224,0.04337489,-0.027727572,0.027768094,-0.0034062799531966,0
2,0.0,0,distilbert.transformer.layer.1.output_layer_norm.weight,random,0.1,0.1,0.3503041,0.9341745,0.8257632,0.8397048,0.07159689,0.79733396,0.8734124,0.8932858109474182,0
1,0.0,0,distilbert.transformer.layer.1.output_layer_norm.weight,random,0.1,0.1,0.35027665,0.9328988,0.8257244,0.83947206,0.07159769,0.79798794,0.87359726,0.8928410410881042,0
